dewpoint_1000_hpa,dewpoint_850_hpa,k_index,showalter_index,dewpoint_500_hpa,lifted_index,convective_available_potential_energy,cross_totals_index,dewpoint_700_hpa,rain
21.4,15.0,35.1,1.18,16.5,0.13,166.7,18.5,7.4,0
22.0,15.8,35.3,0.03,23.7,-0.38,166.64,19.5,6.0,1
19.4,11.0,26.9,3.78,17.9,0.41,3.83,15.9,2.2,0
19.4,11.0,26.9,3.78,17.9,0.41,3.83,15.9,2.2,0
20.0,12.4,12.5,3.56,18.7,1.55,4.51,16.1,11.4,0
20.0,12.4,12.5,3.56,18.7,1.55,4.51,16.1,11.4,0
20.6,12.4,23.3,1.76,-8.4,-1.14,49.97,17.9,-3.0,0
20.6,12.4,23.3,1.76,-8.4,-1.14,49.97,17.9,-3.0,0
20.6,15.0,32.9,-0.06,17.3,-1.07,62.66,20.3,4.2,1
20.6,15.0,32.9,-0.06,17.3,-1.07,62.66,20.3,4.2,0
22.3,15.6,31.7,0.42,-8.8,-1.51,436.72,20.5,3.8,1
22.3,15.6,31.7,0.42,-8.8,-1.51,436.72,20.5,3.8,1
22.4,13.7,29.4,0.38,-9.8,-2.65,398.56,19.8,1.0,1
22.4,13.7,29.4,0.38,-9.8,-2.65,398.56,19.8,1.0,0
18.8,12.6,23.1,2.58,33.9,0.33,0.0,17.5,-3.8,0
18.8,12.6,23.1,2.58,33.9,0.33,0.0,17.5,-3.8,0
20.6,8.8,8.7,5.5,32.1,-0.51,75.26,13.9,12.0,0
20.6,8.8,8.7,5.5,32.1,-0.51,75.26,13.9,12.0,0
16.6,6.4,8.7,7.19,-8.5,3.31,0.0,11.3,10.6,0
16.6,6.4,8.7,7.19,-8.5,3.31,0.0,11.3,10.6,0
20.8,14.9,8.8,0.73,-8.4,-0.06,19.14,19.8,16.8,1
20.8,14.9,8.8,0.73,-8.4,-0.06,19.14,19.8,16.8,0
22.0,12.6,23.9,2.78,16.7,0.31,19.81,17.3,-0.2,0
22.0,12.6,23.9,2.78,16.7,0.31,19.81,17.3,-0.2,0
21.0,14.0,32.7,0.2,-7.9,-1.53,178.84,19.9,4.0,0
21.0,14.0,32.7,0.2,-7.9,-1.53,178.84,19.9,4.0,1
21.2,15.4,30.5,-0.28,-8.7,-1.01,120.25,21.1,3.2,0
21.2,15.4,30.5,-0.28,-8.7,-1.01,120.25,21.1,3.2,0
20.4,12.0,30.5,2.32,11.5,-1.12,154.39,17.5,3.8,1
20.4,12.0,30.5,2.32,11.5,-1.12,154.39,17.5,3.8,1
23.4,14.8,29.9,1.94,16.5,-0.74,612.65,18.3,4.0,1
23.4,14.8,29.9,1.94,16.5,-0.74,612.65,18.3,4.0,0
21.8,13.7,29.6,1.18,12.3,-2.43,460.65,19.0,2.8,1
21.8,13.7,29.6,1.18,12.3,-2.43,460.65,19.0,2.8,1
22.2,12.0,34.8,1.82,-8.0,-1.27,122.69,17.5,6.9,1
22.2,12.0,34.8,1.82,-8.0,-1.27,122.69,17.5,6.9,0
21.3,9.4,22.3,3.3,-9.1,-1.58,168.78,15.9,-3.0,0
21.3,9.4,22.3,3.3,-9.1,-1.58,168.78,15.9,-3.0,1
20.8,13.4,33.5,0.95,-8.9,-1.12,179.9,19.5,4.8,0
20.8,13.4,33.5,0.95,-8.9,-1.12,179.9,19.5,4.8,0
18.8,11.8,11.3,3.39,20.7,1.67,0.0,16.5,13.6,0
18.8,11.8,11.3,3.39,20.7,1.67,0.0,16.5,13.6,0
19.0,13.0,18.5,2.92,43.5,2.45,1.92,17.5,-6.4,0
19.0,13.0,18.5,2.92,43.5,2.45,1.92,17.5,-6.4,0
19.2,10.8,16.3,4.26,39.7,2.35,0.0,15.5,-6.8,0
19.2,10.8,16.3,4.26,39.7,2.35,0.0,15.5,-6.8,0
19.6,11.4,14.5,2.95,29.7,1.75,0.0,17.1,10.8,0
19.6,11.4,14.5,2.95,29.7,1.75,0.0,17.1,10.8,0
18.8,11.9,18.6,4.14,26.9,2.61,0.0,16.8,-3.8,0
18.8,11.9,18.6,4.14,26.9,2.61,0.0,16.8,-3.8,0
20.6,14.1,29.2,0.89,-9.3,-1.0,61.37,20.0,2.2,1
20.6,14.1,29.2,0.89,-9.3,-1.0,61.37,20.0,2.2,0
21.4,13.6,31.9,0.77,-8.3,-1.72,339.48,19.5,4.0,1
21.4,13.6,31.9,0.77,-8.3,-1.72,339.48,19.5,4.0,0
20.6,13.2,30.1,0.94,10.7,-0.56,55.37,18.9,2.0,0
20.6,13.2,30.1,0.94,10.7,-0.56,55.37,18.9,2.0,0
20.4,13.6,28.1,1.67,11.9,0.03,59.89,18.5,0.6,1
20.4,13.6,28.1,1.67,11.9,0.03,59.89,18.5,0.6,0
21.3,14.2,35.9,-0.79,-7.2,-2.63,302.78,20.9,5.2,0
21.3,14.2,35.9,-0.79,-7.2,-2.63,302.78,20.9,5.2,0
21.1,9.4,25.3,5.3,12.5,0.08,111.42,13.9,0.8,1
21.1,9.4,25.3,5.3,12.5,0.08,111.42,13.9,0.8,0
17.2,8.4,24.5,4.89,15.7,2.41,0.0,14.1,1.4,0
17.2,8.4,24.5,4.89,15.7,2.41,0.0,14.1,1.4,0
21.6,14.5,33.8,0.32,11.5,-0.5,66.2,20.0,5.2,1
21.6,14.5,33.8,0.32,11.5,-0.5,66.2,20.0,5.2,1
22.1,16.2,35.6,-0.18,14.9,-1.31,378.39,21.1,7.5,1
22.1,16.2,35.6,-0.18,14.9,-1.31,378.39,21.1,7.5,0
18.0,11.0,27.3,3.91,16.3,1.81,0.0,16.3,1.6,0
18.0,11.0,27.3,3.91,16.3,1.81,0.0,16.3,1.6,0
